Product;Target Audience;Criteria Type;Criteria
Virtual Machine;All;General;Company does not have HQ in China, Iran, Russia
Virtual Machine;All;General;The company is compliant
Virtual Machine;Online Gaming;Qualification;The company runs or plans to run online multiplayer or live service games
Virtual Machine;Online Gaming;Mandatory;The company is in the Online Gaming Industry
Virtual Machine;Online Gaming;Data Points;Company website lists AWS/GCP/Azure or similar cloud provider usage
Virtual Machine;Online Gaming;Data Points;The company has Stackshare/BuiltWith shows Terraform
Virtual Machine;Online Gaming;Data Points;The company has Job postings mention Kubernetes
Virtual Machine;Online Gaming;Data Points;The company has offices in Cyprus or in Luxembourg
Virtual Machine;Gambling;Qualification;Company is in the Online Gambling Industry
Virtual Machine;Gambling;Data Points;Job listings for DevOps/Platform engineer
Virtual Machine;Gambling;Data Points;The company offers esports or live-betting
Virtual Machine;Gambling;Data Points;The company is not casino
Virtual Machine;Fintech / Trading Platforms;Qualification;Company is in the Fintech Industry
Virtual Machine;Fintech / Trading Platforms;Mandatory;The company is not a bank, insurance company, or belongs to huge investment groups
Virtual Machine;Fintech / Trading Platforms;Mandatory;Company proceeds any kind of payments including POs and crypto, ETF, broker - Can be online payments, transactions, wallets etc
Virtual Machine;Fintech / Trading Platforms;Data Points;The company is using Terraform / multi-cloud
Virtual Machine;Fintech / Trading Platforms;Data Points;The company uses or advertises public cloud (AWS/GCP/Azure) in docs
Virtual Machine;Fintech / Trading Platforms;Data Points;The company mentions Kubernetes on Stackshare
Virtual Machine;Fintech / Trading Platforms;Data Points;There are press releases about multi-cloud migration